Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Raridade,Estagio,FF,Code,Linhagem
Spiritomb,40,42,46,42,46,18,48,25,38,10,5,15,3,1,2,810,280,524,650,fantasma,100,sombrio,80,,,,,5,1,,594,223
Gible,49,27,22,20,22,21,10,24,23,14,15,10,4,1,1,559,151,285,397,terrestre,100,dragao,100,,,,,4,1,,595,224
Gabite,64,37,31,26,28,32,15,33,35,16,20,10,4,1,1,726,210,400,548,terrestre,100,dragao,100,,,,,7,2,,596,224
Garchomp,100,67,44,36,39,45,20,48,43,18,35,15,4,1,2,1038,330,594,814,terrestre,100,dragao,100,,,,,10,3,,597,224
Mega Garchomp,100,78,46,43,40,47,20,60,43,18,45,20,4,1,2,1138,376,652,904,terrestre,100,dragao,100,,,,,-,FF,,598,224
Riolu,38,26,18,15,18,25,15,14,18,13,3,21,2,1,0,463,144,254,350,lutador,100,,,,,,,-,0,,599,225
Lucario,71,43,30,48,30,38,25,27,28,26,12,45,4,1,2,901,272,479,649,lutador,100,metal,80,,,,,7,1,,600,225
Mega Lucario,71,59,36,53,30,43,25,30,30,28,18,55,5,1,2,1023,334,563,743,lutador,100,metal,80,,,,,-,FF,,601,225
Hippopotas,61,28,30,20,21,17,16,15,30,15,10,10,4,1,1,580,181,319,415,terrestre,100,,,,,,,4,1,,602,226
Hippowdon,110,57,60,34,35,21,18,22,52,20,10,16,4,1,2,920,344,586,712,terrestre,100,,,,,,,9,2,,603,226
Skorupi,42,23,27,16,23,24,17,31,24,14,15,10,3,1,1,574,164,304,412,venenoso,100,inseto,100,,,,,3,1,,604,227
Drapion,77,33,42,22,34,35,22,50,38,15,21,12,3,1,2,830,261,475,629,venenoso,100,sombrio,100,inseto,50,,,8,2,,605,227
Croagunk,38,24,18,24,18,20,21,19,18,18,13,13,2,1,1,528,138,254,362,venenoso,100,lutador,50,,,,,3,1,,606,228
Toxicroak,80,48,25,43,25,41,27,23,30,20,19,19,2,1,2,820,264,458,604,venenoso,100,lutador,100,,,,,7,2,,607,228
Carnivine,70,39,27,36,27,25,29,26,28,13,35,15,3,1,2,773,220,404,564,planta,100,,,,,,,5,1,,608,229
Finneon,41,22,25,22,26,26,27,19,20,15,5,10,4,1,1,570,158,296,415,agua,100,,,,,,,4,1,,609,230
Lumineon,67,33,37,34,41,42,43,24,36,19,5,10,4,1,2,834,252,466,647,agua,100,,,,,,,7,2,,610,230
Snover,53,27,22,27,26,20,20,16,23,10,5,10,4,1,1,555,161,303,415,planta,100,gelo,100,,,,,4,1,,611,231
Abomasnow,99,48,37,48,44,29,27,20,45,10,10,15,4,1,2,875,291,543,695,gelo,100,planta,100,,,,,9,2,,612,231
Mega Abomasnow,99,63,55,63,55,19,28,21,64,10,10,15,4,1,2,1015,380,699,835,gelo,100,planta,100,,,,,-,FF,,613,231
Rotom,45,21,28,34,28,33,34,24,23,20,10,10,5,1,1,685,202,362,495,eletrico,100,fantasma,100,,,,,5,1,,614,232
RotomHeat,54,26,36,35,36,33,38,28,26,20,10,10,5,1,2,780,220,412,570,eletrico,100,fantasma,100,fogo,100,,,-,F,,615,232
RotomWash,54,26,36,35,36,33,38,28,26,20,10,10,5,1,2,780,220,412,570,eletrico,100,fantasma,100,agua,100,,,-,F,,616,232
RotomFrost,54,26,36,35,36,33,38,28,26,20,10,10,5,1,2,780,220,412,570,eletrico,100,fantasma,100,gelo,100,,,-,F,,617,232
RotomFan,54,26,36,35,36,33,38,28,26,20,10,10,5,1,2,780,220,412,570,eletrico,100,fantasma,100,voador,100,,,-,F,,618,232
RotomMow,54,26,36,35,36,33,38,28,26,20,10,10,5,1,2,780,220,412,570,eletrico,100,fantasma,100,planta,100,,,-,F,,619,232
Uxie,58,35,65,35,65,42,65,25,30,24,5,15,3,1,2,984,390,614,782,psiquico,100,agua,10,,,,,-,1,,620,233
Mesprit,62,49,49,49,49,34,65,35,30,24,5,15,3,1,2,984,326,592,782,psiquico,100,agua,10,,,,,-,1,,621,234
Azelf,58,61,30,61,30,50,65,35,30,24,5,15,3,1,2,984,374,604,782,psiquico,100,agua,10,,,,,-,1,,622,235
Dialga,110,59,59,72,52,42,46,35,50,17,12,16,2,1,2,1127,380,694,940,metal,100,dragao,100,cosmico,50,,,-,1,,623,236
Dialga Radiante,110,63,63,76,56,46,50,39,54,19,15,19,3,1,2,1219,404,734,1004,metal,100,dragao,100,cosmico,50,,,-,FF,,624,236
Palkia,106,58,52,70,58,45,42,44,44,18,15,16,2,1,2,1128,372,672,932,agua,100,dragao,100,cosmico,100,,,-,1,,625,237
Palkia Radiante,106,62,56,74,62,49,46,48,48,20,18,19,3,1,2,1220,396,712,996,agua,100,dragao,100,cosmico,100,,,-,FF,,626,237
Giratina,150,49,59,49,59,40,50,38,50,18,12,16,2,1,2,1128,386,684,938,fantasma,100,dragao,100,cosmico,50,,,-,1,,627,238
Giratina Radiante,150,53,63,53,63,44,54,42,54,20,15,19,3,1,2,1220,402,724,1002,fantasma,100,dragao,100,cosmico,50,,,-,FF,,628,238
Regigigas,130,80,59,40,59,40,38,30,55,16,12,16,2,1,2,1116,408,716,932,normal,100,,,,,,,-,1,,629,239
Regigigas Radiante,130,84,63,44,63,44,42,34,59,18,15,19,3,1,2,1208,424,756,996,normal,100,,,,,,,-,FF,,630,239
Heatran,101,48,57,64,57,31,35,34,60,16,5,20,3,1,2,1061,362,673,873,fogo,100,metal,100,,,,,-,1,,631,240
Cresselia,100,30,42,35,48,36,90,20,36,18,5,30,3,1,2,988,376,604,794,psiquico,100,,,,,,,-,1,,632,241
Phione,70,35,35,35,35,35,35,35,35,18,26,26,4,1,1,868,210,420,630,agua,100,,,,,,,-,1,,633,242
Manaphy,80,40,40,40,40,40,40,40,40,20,30,30,5,2,2,1030,240,480,720,agua,100,,,,,,,-,1,,634,243
Darkrai,72,37,37,60,37,45,75,40,38,20,15,10,5,1,2,1030,360,590,810,sombrio,100,,,,,,,-,1,,635,244
Shaymin,75,30,40,30,40,30,60,30,35,15,20,20,5,1,2,900,280,485,665,planta,100,,,,,,,-,1,,636,245
ShayminSky,75,40,30,40,30,40,30,40,30,20,25,25,5,1,2,905,240,455,635,planta,100,voador,100,,,,,-,F,,637,245
Arceus,110,55,55,55,55,55,55,55,55,20,30,30,6,1,1,1270,330,660,990,normal,100,,,,,,,-,1,,638,246
Arceus Radiante,110,59,59,59,59,59,59,59,59,22,33,33,8,1,1,1372,354,708,1054,normal,100,,,,,,,-,FF,,639,246
Victini,80,40,40,40,40,40,40,40,40,20,30,30,5,2,2,1030,240,480,720,fogo,100,psiquico,100,,,,,-,1,,639,247
Snivy,40,20,25,20,25,28,26,24,20,12,5,10,2,1,1,542,158,296,416,planta,100,,,,,,,3,1,,640,248
Servine,55,28,35,28,35,38,36,32,28,15,5,10,2,1,1,710,218,408,575,planta,100,,,,,,,6,2,,641,248
Serperior,70,35,50,35,50,58,52,42,35,18,10,10,2,1,2,958,320,574,784,planta,100,,,,,,,9,3,,642,248
Tepig,56,27,21,21,21,21,20,20,26,15,5,10,2,1,1,545,162,288,410,fogo,100,,,,,,,3,1,,643,249
Pignite,75,41,25,33,25,25,24,23,40,19,10,15,2,1,1,714,237,403,547,fogo,100,lutador,80,,,,,6,2,,644,249
Emboar,114,65,30,48,30,30,34,28,60,23,10,15,2,1,2,963,364,588,764,fogo,100,lutador,100,,,,,9,3,,645,249
Oshawott,48,24,21,26,21,21,22,22,23,14,7,10,2,1,1,544,148,282,408,agua,100,,,,,,,3,1,,646,250
Dewott,67,34,26,37,26,27,29,29,34,18,12,12,2,1,1,713,210,393,551,agua,100,,,,,,,6,2,,647,250
Samurott,107,48,35,54,32,29,32,58,44,18,12,12,2,1,2,953,331,585,771,agua,100,,,,,,,9,3,,648,250
Ultra Samurott,107,58,36,54,33,29,32,65,46,20,18,18,2,1,2,1025,354,625,813,agua,100,,,,,,,-,FF,,649,250
Patrat,45,24,20,19,20,21,18,23,24,13,6,22,3,1,1,548,142,273,391,normal,100,,,,,,,2,1,,650,251
Watchog,65,35,29,28,29,31,24,30,32,16,12,44,3,1,2,791,223,409,581,normal,100,,,,,,,6,2,,651,251
Lillipup,40,25,20,15,20,22,19,18,24,12,5,10,4,1,1,512,142,262,366,normal,100,,,,,,,2,1,,652,252
Herdier,69,39,33,19,33,29,26,23,36,15,5,10,4,1,1,700,219,409,545,normal,100,,,,,,,5,2,,653,252
Stoutland,101,57,39,24,39,30,34,26,82,16,5,10,4,1,2,941,379,603,763,normal,100,,,,,,,8,3,,654,252
Purrloin,37,26,19,26,19,30,19,23,18,14,15,10,2,1,1,549,164,286,397,sombrio,100,,,,,,,2,1,,655,253
Liepard,62,41,25,41,25,48,24,30,25,15,20,15,2,1,2,775,260,432,580,sombrio,100,,,,,,,7,2,,656,253
Pansage,38,21,18,21,18,23,24,19,22,15,10,15,3,1,1,535,138,260,370,planta,100,,,,,,,3,1,,657,254
Simisage,69,39,27,39,27,42,43,24,32,15,10,15,3,1,2,800,248,459,615,planta,100,,,,,,,7,2,,658,254
Pansear,38,21,18,21,18,23,24,19,22,15,10,15,3,1,1,535,138,260,370,fogo,100,,,,,,,3,1,,659,255
Simisear,69,39,27,39,27,42,43,24,32,15,10,15,3,1,2,800,248,459,615,fogo,100,,,,,,,7,2,,660,255
Panpour,38,21,18,21,18,23,24,19,22,15,10,15,3,1,1,535,138,260,370,agua,100,,,,,,,3,1,,661,256
Simipour,69,39,27,39,27,42,43,24,32,15,10,15,3,1,2,800,248,459,615,agua,100,,,,,,,7,2,,662,256
Munna,74,13,19,25,22,12,27,14,25,10,5,16,4,1,1,540,178,310,396,cosmico,100,psiquico,100,,,,,4,1,,663,257
Musharna,126,20,29,43,33,14,49,18,35,12,8,16,4,1,2,792,310,504,612,cosmico,100,psiquico,100,,,,,7,2,,664,257
Pidove,39,22,20,16,14,21,19,21,20,16,10,14,5,1,1,531,128,247,349,voador,100,normal,100,,,,,1,1,,665,258
Tranquill,58,31,27,20,19,29,24,28,33,16,10,24,5,1,1,686,186,354,490,voador,100,normal,100,,,,,5,2,,666,258
Unfezant,87,47,39,33,27,33,38,30,37,16,10,34,5,1,2,901,259,477,669,voador,100,normal,100,,,,,7,3,,667,258
Blitzle,44,28,18,25,18,31,17,17,22,17,10,15,4,1,1,577,168,292,396,eletrico,100,,,,,,,4,1,,668,259
Zebstrika,75,51,28,40,28,54,22,24,32,18,12,16,4,1,2,843,290,485,633,eletrico,100,,,,,,,8,2,,669,259
Roggenrola,46,29,32,16,16,8,9,16,20,11,10,15,4,1,2,521,168,272,356,pedra,100,,,,,,,3,1,,670,260
Boldore,73,45,45,25,22,10,12,30,32,12,12,16,4,1,2,707,253,427,527,pedra,100,,,,,,,6,2,,671,260
Gigalith,95,73,71,27,33,14,16,53,40,13,12,18,4,1,2,948,394,635,757,pedra,100,,,,,,,9,3,,672,260
Gigalith Radiante,95,77,75,31,37,18,20,57,44,15,15,21,5,1,2,1040,418,675,819,pedra,100,,,,,,,-,FF,,673,260
Woobat,57,22,21,27,21,31,27,17,20,12,13,13,2,1,1,577,173,313,429,psiquico,100,voador,,,,,,4,1,,674,261
Swoobat,61,28,27,36,27,42,35,21,30,14,21,21,2,1,2,759,226,403,553,psiquico,100,voador,,,,,,7,2,,675,261
Drilbur,57,27,21,17,22,24,18,33,20,12,10,5,3,1,1,557,177,311,421,terrestre,100,,,,,,,3,1,,676,262
Excadrill,101,52,30,25,32,35,22,90,32,14,10,5,3,1,2,899,385,583,737,terrestre,100,metal,100,,,,,8,2,,677,262
Audino,96,29,40,29,40,22,76,22,35,12,5,12,2,1,2,832,328,536,682,normal,100,,,,,,,5,1,,678,263
Mega Audino,96,29,52,38,52,22,93,22,35,12,5,12,2,1,2,932,394,636,782,normal,100,fada,80,,,,,-,FF,,679,263
Timburr,50,28,24,15,18,18,14,14,28,13,6,12,2,1,2,523,162,282,368,lutador,100,,,,,,,3,1,,680,264
Gurdurr,80,46,40,20,25,20,18,18,42,14,10,12,2,1,2,704,256,426,538,lutador,100,,,,,,,6,2,,681,264
Conkeldurr,111,72,49,27,34,24,22,20,64,15,10,15,2,1,3,930,383,603,735,lutador,100,,,,,,,9,3,,682,264
Tympole,38,20,18,20,18,23,19,17,18,14,10,12,3,1,1,500,126,238,344,agua,100,,,,,,,2,1,,683,265
Palpitoad,63,35,29,35,29,28,24,25,28,16,12,15,3,1,1,701,203,375,529,agua,100,terrestre,100,,,,,6,2,,684,265
Seismitoad,102,46,40,44,40,36,35,38,39,19,14,18,3,1,2,949,282,520,738,agua,100,terrestre,100,,,,,9,3,,685,265
Throh,128,50,41,18,41,27,20,24,45,10,10,20,4,1,2,850,318,536,664,lutador,100,,,,,,,6,1,,686,266
Sawk,78,61,35,18,35,40,23,27,35,20,10,27,4,1,2,860,280,490,644,lutador,100,,,,,,,6,1,,687,267
Sewaddle,37,23,27,20,25,21,24,16,20,8,5,10,5,1,1,533,152,280,389,planta,100,inseto,100,,,,,2,1,,688,268
Swadloon,48,27,36,25,34,22,31,19,32,10,10,15,5,1,2,690,204,370,500,planta,100,inseto,100,,,,,5,2,,689,268
Leavanny,70,43,37,33,35,38,44,26,39,12,12,16,5,1,2,862,252,472,660,planta,100,inseto,100,,,,,7,3,,690,268
Venipede,33,24,29,18,21,28,20,23,18,12,12,16,2,1,1,547,162,290,395,inseto,100,venenoso,100,,,,,2,1,,691,269
Whirlipede,43,26,40,20,32,28,23,34,26,14,15,18,2,1,1,669,212,372,501,inseto,100,venenoso,100,,,,,5,2,,692,269
Scolipede,65,44,41,27,36,45,26,39,41,15,16,20,2,1,2,860,260,492,663,inseto,100,venenoso,100,,,,,8,3,,693,269
Cottonee,35,14,30,18,28,31,29,11,24,10,5,15,3,1,1,545,180,320,413,planta,100,fada,100,,,,,3,1,,694,270
Whimsicott,61,28,38,33,33,46,46,14,36,12,5,16,3,1,2,777,260,464,613,planta,100,fada,100,,,,,6,2,,695,270
Petilil,39,17,23,30,23,16,29,16,21,11,10,12,3,1,1,536,164,291,389,planta,100,,,,,,,4,1,,696,271
Lilligant,73,25,33,48,33,35,48,18,36,13,12,15,3,1,2,808,265,473,625,planta,100,,,,,,,7,2,,697,271
Ultra Lilligant,73,48,33,30,33,48,30,48,36,15,13,22,3,1,2,890,288,499,685,planta,100,lutador,100,,,,,-,FF,,697,271
Basculin,68,38,28,35,26,39,22,29,22,20,15,12,3,1,2,750,224,406,546,agua,100,,,,,,,4,1,,698,272
Basculegion,122,50,30,36,32,35,32,31,43,20,16,14,3,1,2,910,308,514,700,agua,100,fantasma,100,,,,,9,2,,699,272
Sandile,44,26,18,18,18,23,16,23,22,13,16,10,4,1,1,543,144,268,372,terrestre,100,sombrio,100,,,,,3,1,,700,273
Krokorok,58,38,22,22,22,29,18,26,29,14,19,12,4,1,2,674,192,346,472,terrestre,100,sombrio,100,,,,,6,2,,701,273
Krookodile,100,56,36,27,30,37,20,36,42,15,26,15,4,1,2,895,296,514,680,terrestre,100,sombrio,100,,,,,9,3,,702,273
Darumaka,51,33,20,8,20,23,23,18,18,14,10,15,2,1,1,529,163,289,391,fogo,100,,,,,,,3,1,,703,274
Ultra Darumaka,51,35,21,8,21,23,29,18,18,14,10,15,2,1,1,549,179,309,411,gelo,100,,,,,,,-,FF,,703,274
Darmanitan,99,72,26,15,26,41,32,22,45,16,12,16,2,1,2,841,333,531,659,fogo,100,,,,,,,8,2,,704,274
Ultra Darmanitan,99,74,28,16,28,42,39,22,45,16,12,16,2,1,2,871,337,555,687,gelo,100,,,,,,,-,FF,,705,274
Darmanitan Zen,99,17,49,62,49,20,35,22,45,16,12,16,2,1,2,881,321,579,697,fogo,100,psiquico,100,,,,,-,F,,705,274
Ultra Darmanitan Zen,99,89,28,16,28,57,39,22,45,16,12,16,2,1,2,931,391,615,747,gelo,100,fogo,100,psiquico,100,,,-,F,,705,274
Maractus,69,35,27,40,27,26,52,37,31,14,12,17,3,1,2,809,258,459,619,planta,100,sonoro,100,,,,,5,1,,706,278
Dwebble,39,24,34,17,17,22,21,26,21,10,16,10,3,1,1,555,168,296,403,pedra,100,inseto,100,,,,,2,1,,707,279
Crustle,74,39,81,22,26,20,22,41,46,13,18,10,4,1,2,863,336,540,668,pedra,100,inseto,100,,,,,8,2,,708,279
Scraggy,40,29,26,16,26,19,21,20,22,16,15,10,1,1,1,546,162,288,398,sombrio,100,lutador,80,,,,,2,1,,709,280
Scrafty,63,36,44,18,44,23,25,24,32,20,22,13,1,1,2,755,248,425,563,sombrio,100,lutador,100,,,,,6,2,,710,280
Sigilyph,65,21,35,38,47,40,60,26,30,25,14,14,2,1,2,870,294,505,667,psiquico,100,voador,100,,,,,7,1,,711,281
Yamask,37,17,29,26,27,18,25,17,18,12,10,15,3,1,1,547,164,287,391,fantasma,100,,,,,,,2,1,,712,282
Ultra Yamask,37,26,29,22,28,18,28,18,18,12,10,15,3,1,1,567,170,303,411,fantasma,100,terrestre,100,,,,,-,FF,,712,282
Cofagrigus,60,25,74,52,59,19,36,20,38,16,10,16,3,1,2,896,370,578,706,fantasma,100,,,,,,,9,2,,713,282
Ultra Cofagrigos,60,52,76,35,69,19,44,30,38,16,10,16,3,1,2,976,394,628,786,fantasma,100,terrestre,100,pedra,50,,,-,FF,,713,282
Tirtouga,48,27,37,24,22,17,22,19,23,10,5,10,4,1,1,570,176,314,430,agua,100,pedra,100,,,,,4,1,,714,283
Carracosta,72,38,60,34,31,20,28,22,37,11,6,12,4,1,2,781,270,472,612,agua,100,pedra,100,,,,,7,2,,715,283
Archen,42,30,19,25,19,25,18,19,20,14,10,15,3,1,1,554,160,280,392,voador,100,pedra,100,,,,,4,1,,716,284
Archeops,70,71,28,46,28,45,26,27,38,18,12,16,3,1,2,888,324,526,688,voador,100,pedra,100,,,,,7,2,,717,284
Trubbish,40,21,25,18,25,26,22,21,23,12,5,12,2,1,1,532,152,284,402,venenoso,100,metal,10,pedra,10,,,2,1,,718,285
Garbodor,81,43,39,26,39,30,29,28,54,14,10,15,2,1,3,849,275,491,657,venenoso,100,metal,10,pedra,10,,,7,2,,719,285
Gigantamax Garbodor,280,49,43,26,40,16,29,28,64,15,10,15,2,1,3,1065,506,730,870,venenoso,100,metal,10,pedra,10,,,-,FF,,720,285
Zorua,40,25,19,29,19,25,18,22,18,14,16,10,4,1,1,564,158,280,390,sombrio,100,,,,,,,4,1,,721,286
Ultra Zorua,38,26,19,31,19,26,25,22,18,14,16,10,4,1,1,584,166,298,410,normal,100,fada,100,sombrio,10,,,-,FF,,721,286
Zoroark,72,40,24,48,24,40,24,30,32,18,32,12,4,1,2,838,256,456,612,sombrio,100,,,,,,,8,2,,722,286
Ultra Zoroark,70,43,24,52,24,43,45,30,32,18,32,12,4,1,2,898,280,500,672,normal,100,fada,100,sombrio,10,,,-,FF,,723,286
Minccino,37,21,18,18,18,27,38,15,18,16,5,15,2,1,1,531,172,281,385,normal,100,,,,,,,2,1,,724,287
Cinccino,65,35,24,27,24,42,62,17,25,20,6,18,2,1,2,765,278,447,583,normal,100,,,,,,,6,2,,725,287
Gothita,41,16,22,24,27,20,31,19,20,13,5,10,3,1,1,538,164,289,399,psiquico,100,cosmico,80,,,,,3,1,,726,288
Gothorita,60,20,30,33,38,23,42,21,35,15,6,12,3,1,1,695,230,416,544,psiquico,100,cosmico,80,,,,,6,2,,727,288
Gothitelle,78,23,41,42,58,28,68,25,40,16,10,15,3,1,2,916,336,576,728,psiquico,100,cosmico,80,,,,,9,3,,728,288
Solosis,42,15,18,39,22,14,22,19,22,13,5,10,3,1,1,523,166,290,384,psiquico,100,,,,,,,3,1,,729,289
Duosion,63,19,25,63,29,17,28,23,36,15,6,10,3,1,1,690,261,425,543,psiquico,100,,,,,,,6,2,,730,289
Reuniclus,112,26,33,69,38,20,36,25,48,22,10,12,3,1,2,902,346,560,706,psiquico,100,,,,,,,9,3,,731,289
Ducklett,53,23,24,23,24,25,23,22,22,12,5,13,4,1,1,577,151,291,425,agua,100,voador,50,,,,,3,1,,732,290
Swanna,75,37,31,37,31,39,32,28,36,16,10,18,4,1,2,821,227,437,617,agua,100,voador,100,,,,,6,2,,733,290
Vanillite,35,24,24,27,26,21,25,20,18,16,4,15,4,1,1,571,156,294,405,gelo,100,,,,,,,2,1,,734,291
Vanillish,54,30,30,40,36,27,40,27,29,18,5,16,4,1,1,748,232,410,572,gelo,100,,,,,,,6,2,,735,291
Vanilluxe,77,41,39,51,42,35,53,35,38,20,8,17,4,1,2,955,292,529,745,gelo,100,,,,,,,9,3,,736,291
Vaniluxe Radiante,77,45,43,55,46,39,57,39,42,22,11,20,5,1,2,1047,316,576,809,gelo,100,,,,,,,-,FF,,737,291
Deerling,51,26,24,20,24,29,27,17,20,14,6,10,2,1,1,559,164,311,425,normal,100,planta,100,,,,,3,1,,738,292
Sawsbuck,78,40,34,27,34,38,35,35,35,15,6,12,2,1,2,795,234,444,634,normal,100,planta,100,,,,,7,2,,739,292
Emolga,46,31,25,31,25,50,28,24,24,24,10,10,3,1,2,724,224,380,524,eletrico,100,voador,100,,,,,4,1,,740,293
Karrablast,43,26,24,20,24,22,17,42,18,13,10,10,3,1,1,578,184,319,429,inseto,100,,,,,,,2,1,,741,294
Escavalier,73,39,41,23,41,19,19,95,35,14,15,10,3,1,2,879,354,575,697,inseto,100,metal,100,,,,,7,2,,742,294
Foongus,57,25,21,25,25,13,18,15,25,12,10,15,4,1,1,557,157,299,395,planta,100,venenoso,100,,,,,1,1,,743,295
Amoonguss,110,43,36,43,41,17,26,19,40,15,10,20,4,1,2,845,282,516,646,planta,100,venenoso,100,,,,,7,2,,744,295
Frillish,49,18,21,25,40,23,28,15,31,12,5,10,3,1,1,587,198,343,451,agua,100,fantasma,100,,,,,4,1,,745,296
Jellicent,104,26,31,35,62,25,36,18,90,15,5,10,3,1,2,915,408,612,750,agua,100,fantasma,100,,,,,8,2,,746,296
Alomomola,153,30,36,20,22,28,32,23,32,15,3,15,3,1,2,770,289,469,599,agua,100,,,,,,,5,1,,747,297
Joltik,40,19,20,21,20,23,21,20,19,12,20,10,3,1,1,532,130,250,368,inseto,100,eletrico,100,,,,,1,1,,748,298
Galvantula,72,36,29,41,29,42,30,26,33,13,35,10,3,1,2,823,238,446,622,eletrico,100,inseto,100,,,,,6,2,,749,298
Ferroseed,37,24,33,15,31,9,18,34,20,10,10,10,2,1,1,535,196,321,407,metal,100,planta,100,,,,,3,1,,750,299
Ferrothorn,73,36,59,22,52,13,24,58,38,12,11,11,2,1,2,837,338,559,677,metal,100,planta,100,,,,,7,2,,751,299
Klink,39,23,29,20,24,15,16,19,25,15,5,12,4,1,1,540,156,281,381,metal,100,,,,,,,3,1,,752,300
Klang,60,34,43,22,31,22,20,28,35,25,10,15,4,1,2,755,224,402,540,metal,100,,,,,,,6,2,,753,300
Klinklang,66,44,55,22,33,33,22,33,55,33,11,22,4,1,2,925,308,506,682,metal,100,,,,,,,9,3,,754,300
Tynamo,31,25,20,21,20,26,22,18,20,15,10,5,3,1,1,520,146,268,375,eletrico,100,agua,50,,,,,2,1,,755,301
Eelektrik,61,37,32,34,32,29,25,27,38,23,10,5,3,1,1,738,218,407,569,eletrico,100,agua,50,,,,,6,2,,756,301
Eelektross,85,51,36,45,36,30,31,33,50,38,10,5,3,1,2,943,292,525,725,eletrico,100,agua,50,,,,,9,3,,757,301
Elgyem,46,23,23,30,23,19,22,23,23,15,10,16,4,1,1,595,152,290,418,cosmico,100,,,,,,,4,1,,758,303
Beheeyem,68,34,34,62,42,24,29,30,34,16,10,16,4,1,2,846,276,480,646,cosmico,100,,,,,,,7,2,,759,303
Litwick,40,16,21,28,21,13,22,17,25,15,12,10,3,1,1,525,150,274,370,fantasma,100,fogo,100,,,,,2,1,,760,304
Lampent,63,20,31,44,31,20,29,19,32,15,15,10,3,1,1,680,215,397,515,fantasma,100,fogo,100,,,,,5,2,,761,304
Chandelure,70,25,41,73,42,35,46,30,40,15,18,10,3,1,2,925,322,554,734,fantasma,100,fogo,100,,,,,9,3,,762,304
Chandelure Radiante,70,29,45,77,46,39,50,34,44,17,21,13,4,1,2,1017,346,602,798,fantasma,100,fogo,100,,,,,-,FF,,763,304
Axew,42,34,24,16,19,22,17,18,20,14,15,10,4,1,1,554,160,280,382,dragao,100,,,,,,,4,1,,764,305
Fraxure,58,46,31,20,23,29,23,24,31,16,16,12,4,1,1,696,216,380,512,dragao,100,,,,,,,6,2,,765,305
Haxorus,78,78,44,26,32,36,30,31,42,17,18,12,4,1,2,927,328,542,716,dragao,100,,,,,,,9,3,,766,305
Cubchoo,44,24,20,23,20,20,27,20,22,12,10,15,3,1,1,552,148,276,396,gelo,100,,,,,,,2,1,,767,306
Beartic,93,69,32,28,32,24,27,28,46,12,12,16,3,1,2,847,323,507,665,gelo,100,,,,,,,8,2,,768,306
Cryogonal,75,22,22,45,65,45,40,26,30,15,15,15,2,1,2,850,310,525,665,gelo,100,cosmico,50,,,,,7,1,,769,307
Crygonal Radiante,75,26,26,49,69,49,44,30,34,17,18,18,3,1,2,942,334,565,729,gelo,100,cosmico,50,,,,,-,FF,,770,307
Shelmet,40,18,26,18,22,15,23,18,23,12,10,15,2,1,1,512,144,264,366,inseto,100,,,,,,,1,1,,771,308
Accelgor,73,30,26,42,28,76,25,25,31,15,12,16,2,1,2,820,309,487,639,inseto,100,sombrio,50,,,,,7,2,,772,308
Stunfisk,102,22,29,28,36,16,25,24,32,12,15,15,2,1,2,702,238,402,526,terrestre,100,eletrico,100,,,,,4,1,,773,309
Ultra Stunkfisk,103,35,45,28,36,16,25,34,32,12,19,19,2,1,2,797,265,467,611,terrestre,100,metal,100,,,,,-,FF,,774,309
Mienfoo,41,27,21,22,21,25,18,19,20,14,5,15,3,1,1,539,148,273,387,lutador,100,,,,,,,3,1,,775,310
Mienshao,70,42,29,36,29,39,22,23,33,19,8,20,3,1,2,779,234,428,576,lutador,100,,,,,,,7,2,,776,310
Druddigon,100,56,44,28,44,22,23,30,42,9,12,5,5,1,2,849,300,532,678,dragao,100,,,,,,,8,1,,777,311
Golett,52,30,26,18,26,18,25,14,30,7,5,10,3,1,1,547,172,326,426,terrestre,100,fantasma,100,pedra,50,,,3,1,,778,312
Golurk,107,80,54,24,54,24,33,14,56,8,5,12,3,1,2,933,380,661,785,terrestre,100,fantasma,100,pedra,50,,,9,2,,779,312
Pawniard,40,28,24,18,18,30,18,25,18,16,15,10,3,1,1,566,166,290,398,metal,100,sombrio,100,,,,,4,1,,780,313
Bisharp,69,59,40,23,28,28,20,33,33,15,18,11,3,1,2,790,267,455,597,metal,100,sombrio,100,,,,,7,2,,781,313
Kingambit,85,68,57,26,42,25,24,50,42,14,20,12,4,1,3,979,350,603,753,metal,100,sombrio,100,,,,,10,3,,782,313
Bouffalant,95,51,47,19,47,23,24,51,36,12,5,10,2,1,2,837,299,559,691,normal,100,,,,,,,6,1,,783,314
Rufflet,57,28,23,17,23,25,17,18,22,6,10,15,3,1,1,541,163,299,403,normal,100,voador,100,,,,,4,1,,784,315
Braviary,103,45,34,23,34,36,19,25,45,10,10,15,3,1,2,795,283,491,625,normal,100,voador,100,,,,,8,2,,785,315
Ultra Braviary,103,35,34,45,43,41,43,25,45,10,15,15,3,1,2,905,283,537,725,psiquico,100,voador,100,,,,,-,FF,,786,315
Vullaby,58,23,26,19,24,23,20,20,21,10,12,18,3,1,1,570,158,292,410,sombrio,100,voador,100,,,,,4,1,,787,316
Mandibuzz,105,29,46,25,39,34,23,25,40,12,16,36,3,1,2,857,277,495,653,sombrio,100,voador,100,,,,,8,2,,788,316
